"ID_PEDIDO";"PEDDTBAIXA";"CLICODIGO";"GCLCODIGO";"SETOR";"PROCODIGO";"TRANSITIONS";"PDPDESCRICAO";"PEDAUTORIZOU";"FISCODIGO";"QTD";"VRVENDA"
13668331;2023-10-13;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"DIANESSA";"5.101  ";2;486,91
13668350;2023-10-13;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"BRUNA";"5.101  ";2;234,2
13668396;2023-10-11;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2417        ";0;"VARILUX XR DESIGN ORMA COLOR";"VINICIOS/MORRETES";"5.101  ";2;195,56
13668417;2023-10-13;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"GISELE/MORRETES";"5.101  ";2;486,91
13668418;2023-10-24;4382;77;"SETOR 6 - B CAMBORIU - LITORAL";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"GISELE/MORRETES";"5.101  ";2;234,2
13668870;2023-10-11;709;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2390        ";0;"VARILUX XR TRACK ORMA XPERIO MARROM";"A";"6.101  ";2;249,99
13670014;2023-10-13;177;12;"SETOR 4 - JOINVILLE - NORTE";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";;"5.101  ";2;152,04
13670078;2023-10-16;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"INDIANARA BORG";"5.101  ";2;554,07
13670122;2023-10-16;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2493        ";0;"VARILUX XR DESIGN AIRWEAR COLOR";"INDIANARA BORG";"5.101  ";2;194,91
13670222;2023-10-16;1281;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"SILVANA";"6.101  ";2;653,66
13670451;2023-10-16;198;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"BERNARDO";"6.101  ";2;674,88
13670737;2023-10-13;1419;;"SETOR 5 - BLUMENAU - VALE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"FABIO - JANE";"5.101  ";2;600,3
13670780;2023-10-11;1419;;"SETOR 5 - BLUMENAU - VALE";"LD2417        ";0;"VARILUX XR DESIGN ORMA COLOR";"FABIO - JANE";"5.101  ";2;204,18
13670973;2023-10-16;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2366        ";1;"VARILUX XR DESIGN ORMA TGEN8 CINZA";"JULIANA CARDOSO ";"5.101  ";2;714,67
13671287;2023-10-13;1742;56;"SETOR 5 - BLUMENAU - VALE";"LD2493        ";0;"VARILUX XR DESIGN AIRWEAR COLOR";"JOãO PAULO MOMM DA SILVA";"5.101  ";2;208,09
13671517;2023-10-13;1270;;"SETOR 5 - BLUMENAU - VALE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"RAFAEL";"5.101  ";2;795
13671528;2023-10-17;1270;;"SETOR 5 - BLUMENAU - VALE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"RAFAEL";"5.101  ";2;190,55
13671807;2023-10-16;1281;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2373        ";1;"VARILUX XR DESIGN STYLIS 1.67 TGEN8 CINZA";"SILVANA";"6.101  ";2;1632,68
13671946;2023-10-13;1777;56;"SETOR 5 - BLUMENAU - VALE";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"PAULO";"5.101  ";2;694,82
13671961;2023-10-13;1777;56;"SETOR 5 - BLUMENAU - VALE";"LD2417        ";0;"VARILUX XR DESIGN ORMA COLOR";"PAULO";"5.101  ";2;204,25
13672107;2023-10-17;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"INDIANARA BORG";"5.101  ";2;554,07
13672150;2023-10-17;3325;77;"SETOR 5 - BLUMENAU - VALE";"LD2371        ";0;"VARILUX XR DESIGN AIRWEAR BLUE UV";"INDIANARA BORG";"5.101  ";2;236,01
13672326;2023-10-16;1281;;"SETOR 3 - CHAPECO - OESTE - RS";"LD2365        ";0;"VARILUX XR DESIGN ORMA BLUE UV";"SILVANA";"6.101  ";2;653,66
